name,longt,latt,coord
Arganzuela,-3.68972,40.39238,"{'type': 'Point', 'coordinates': [40.39238, -3.68972]}"
Retiro,-3.67826,40.41964,"{'type': 'Point', 'coordinates': [40.41964, -3.67826]}"
Salamanca,-3.68721,40.4276,"{'type': 'Point', 'coordinates': [40.4276, -3.68721]}"
Tetuán,-3.69529,40.47004,"{'type': 'Point', 'coordinates': [40.47004, -3.69529]}"
Chamberí,-3.71014,40.44099,"{'type': 'Point', 'coordinates': [40.44099, -3.71014]}"
Fuencarral-El Pardo,-3.70367,40.4851,"{'type': 'Point', 'coordinates': [40.4851, -3.70367]}"
Latina,-3.74322,40.39355,"{'type': 'Point', 'coordinates': [40.39355, -3.74322]}"
Carabanchel,-3.73501,40.37663,"{'type': 'Point', 'coordinates': [40.37663, -3.73501]}"
Usera,-3.70595,40.38989,"{'type': 'Point', 'coordinates': [40.38989, -3.70595]}"
Moratalaz,-3.65223,40.41057,"{'type': 'Point', 'coordinates': [40.41057, -3.65223]}"
Ciudad Lineal,-3.63581,40.43875,"{'type': 'Point', 'coordinates': [40.43875, -3.63581]}"
Hortaleza,-3.64645,40.46817,"{'type': 'Point', 'coordinates': [40.46817, -3.64645]}"
Villaverde,-3.70396,40.33596,"{'type': 'Point', 'coordinates': [40.33596, -3.70396]}"
Villa de Vallecas,-3.59451,40.36813,"{'type': 'Point', 'coordinates': [40.36813, -3.59451]}"
Vicálvaro,-3.61868,40.38671,"{'type': 'Point', 'coordinates': [40.38671, -3.61868]}"
San Blas,-3.6388,40.43965,"{'type': 'Point', 'coordinates': [40.43965, -3.6388]}"
Barajas,-3.59395,40.46079,"{'type': 'Point', 'coordinates': [40.46079, -3.59395]}"
Centro,-3.70628,40.41956,"{'type': 'Point', 'coordinates': [40.41956, -3.70628]}"
Chamartín,-3.68044,40.45882,"{'type': 'Point', 'coordinates': [40.45882, -3.68044]}"
Moncloa,-3.72137,40.42978,"{'type': 'Point', 'coordinates': [40.42978, -3.72137]}"
Puente de Vallecas,-3.65323,40.38492,"{'type': 'Point', 'coordinates': [40.38492, -3.65323]}"
